name,IPC,MPKI
628.pop2_s-17B.champsimtrace.xz.log,2.623,0.6673,
620.omnetpp_s-141B.champsimtrace.xz.log,0.5715,9.022,
648.exchange2_s-387B.champsimtrace.xz.log,2.844,4.055,
602.gcc_s-1850B.champsimtrace.xz.log,3.475,0.1838,
625.x264_s-12B.champsimtrace.xz.log,3.837,0.1782,
600.perlbench_s-1273B.champsimtrace.xz.log,3.426,1.269,
621.wrf_s-575B.champsimtrace.xz.log,2.187,4.415,
654.roms_s-293B.champsimtrace.xz.log,1.542,0.0234,
619.lbm_s-2676B.champsimtrace.xz.log,0.234,0.4386,
607.cactuBSSN_s-2421B.champsimtrace.xz.log,3.337,0.7284,
605.mcf_s-1536B.champsimtrace.xz.log,0.3407,0.0228,
644.nab_s-12459B.champsimtrace.xz.log,3.014,2.996,
631.deepsjeng_s-928B.champsimtrace.xz.log,1.823,6.584,
657.xz_s-4994B.champsimtrace.xz.log,1.691,13.52,
603.bwaves_s-2931B.champsimtrace.xz.log,0.7031,0.0031,
627.cam4_s-490B.champsimtrace.xz.log,1.74,4.293,
623.xalancbmk_s-165B.champsimtrace.xz.log,2.543,0.0131,
638.imagick_s-10316B.champsimtrace.xz.log,3.819,0.3157,
649.fotonik3d_s-1176B.champsimtrace.xz.log,1.211,0.0044,
641.leela_s-149B.champsimtrace.xz.log,1.625,11.14,
