name,IPC,MPKI
628.pop2_s-17B.champsimtrace.xz.log,2.781,0.05285,
620.omnetpp_s-141B.champsimtrace.xz.log,0.7254,2.511,
648.exchange2_s-387B.champsimtrace.xz.log,3.954,0.4417,
602.gcc_s-1850B.champsimtrace.xz.log,3.587,0.0173,
625.x264_s-12B.champsimtrace.xz.log,3.919,0.0084,
600.perlbench_s-1273B.champsimtrace.xz.log,3.793,0.3494,
621.wrf_s-575B.champsimtrace.xz.log,3.213,0.02255,
654.roms_s-293B.champsimtrace.xz.log,1.529,0,
619.lbm_s-2676B.champsimtrace.xz.log,0.2341,0,
607.cactuBSSN_s-2421B.champsimtrace.xz.log,3.333,0.3637,
605.mcf_s-1536B.champsimtrace.xz.log,0.3406,0,
644.nab_s-12459B.champsimtrace.xz.log,3.935,0.2921,
631.deepsjeng_s-928B.champsimtrace.xz.log,2.612,0.4578,
657.xz_s-4994B.champsimtrace.xz.log,3.957,0.00195,
603.bwaves_s-2931B.champsimtrace.xz.log,0.703,0,
627.cam4_s-490B.champsimtrace.xz.log,2.208,0.00645,
623.xalancbmk_s-165B.champsimtrace.xz.log,2.389,0,
638.imagick_s-10316B.champsimtrace.xz.log,3.969,5e-05,
649.fotonik3d_s-1176B.champsimtrace.xz.log,1.212,0,
641.leela_s-149B.champsimtrace.xz.log,3.338,0.194,
