name,IPC,MPKI,L2C
628.pop2_s-17B.champsimtrace.xz.log,2.113,4.264,0.7053560151300614,
620.omnetpp_s-141B.champsimtrace.xz.log,0.4289,17.77,0.46027957625073024,
648.exchange2_s-387B.champsimtrace.xz.log,1.102,26.24,0.8331314354936402,
602.gcc_s-1850B.champsimtrace.xz.log,0.5878,31.16,0.261747123481391,
625.x264_s-12B.champsimtrace.xz.log,2.775,4.319,0.477180877279448,
600.perlbench_s-1273B.champsimtrace.xz.log,2.554,4.293,0.3689839572192513,
621.wrf_s-575B.champsimtrace.xz.log,1.73,9.321,0.14539579967689822,
654.roms_s-293B.champsimtrace.xz.log,1.514,0.0223,0.40526446174735725,
619.lbm_s-2676B.champsimtrace.xz.log,0.2346,0.7445,0.6738578379019817,
607.cactuBSSN_s-2421B.champsimtrace.xz.log,3.337,0.7284,0.9474576198444372,
605.mcf_s-1536B.champsimtrace.xz.log,0.3411,0.0418,0.44322002407552863,
644.nab_s-12459B.champsimtrace.xz.log,1.586,13.42,0.9152713239347877,
631.deepsjeng_s-928B.champsimtrace.xz.log,1.248,15.99,0.7812642455553868,
657.xz_s-4994B.champsimtrace.xz.log,1.627,14.41,0.6824054721641649,
603.bwaves_s-2931B.champsimtrace.xz.log,0.7035,1.636,0.35483233655095403,
627.cam4_s-490B.champsimtrace.xz.log,1.365,10.68,0.5719576155714058,
623.xalancbmk_s-165B.champsimtrace.xz.log,1.068,9.702,0.0006673848498384088,
638.imagick_s-10316B.champsimtrace.xz.log,3.82,0.3128,0.9956139612884409,
649.fotonik3d_s-1176B.champsimtrace.xz.log,1.211,0.0044,0.6017435326969136,
641.leela_s-149B.champsimtrace.xz.log,1.18,19.93,0.7120716823228702,
