name,IPC,MPKI,L2C
628.pop2_s-17B.champsimtrace.xz.log,2.103,4.264,0.232839393309786,
620.omnetpp_s-141B.champsimtrace.xz.log,0.4256,17.77,0.15949402525874357,
648.exchange2_s-387B.champsimtrace.xz.log,1.102,26.24,0.8331314354936402,
602.gcc_s-1850B.champsimtrace.xz.log,0.6718,31.16,0.3228417154303298,
625.x264_s-12B.champsimtrace.xz.log,2.775,4.319,0.45598817151306065,
600.perlbench_s-1273B.champsimtrace.xz.log,2.554,4.293,0.3684491978609626,
621.wrf_s-575B.champsimtrace.xz.log,1.73,9.321,0.14539579967689822,
654.roms_s-293B.champsimtrace.xz.log,1.561,0.0223,0.1830364131625912,
619.lbm_s-2676B.champsimtrace.xz.log,0.2367,0.7445,0.09436646305863348,
607.cactuBSSN_s-2421B.champsimtrace.xz.log,2.837,0.7283,0.5201600482185552,
605.mcf_s-1536B.champsimtrace.xz.log,0.341,0.0418,0.16277898780481706,
644.nab_s-12459B.champsimtrace.xz.log,1.557,13.42,0.7553595337481295,
631.deepsjeng_s-928B.champsimtrace.xz.log,1.242,15.99,0.5903948894423636,
657.xz_s-4994B.champsimtrace.xz.log,1.627,14.41,0.6824054721641649,
603.bwaves_s-2931B.champsimtrace.xz.log,0.6944,1.636,0.3161642611491922,
627.cam4_s-490B.champsimtrace.xz.log,1.361,10.68,0.26479557337549164,
623.xalancbmk_s-165B.champsimtrace.xz.log,1.595,9.702,0.2129057176864403,
638.imagick_s-10316B.champsimtrace.xz.log,3.82,0.3128,0.9956139612884409,
649.fotonik3d_s-1176B.champsimtrace.xz.log,1.187,0.0044,0.2924383521837243,
641.leela_s-149B.champsimtrace.xz.log,1.179,19.93,0.5957539029903347,
